iteration,current_objective,best_objective
0,1751,1751
1,2224,2224
2,2333,2333
3,1997,2333
4,1099,2333
5,1815,2333
6,2162,2333
7,989,2333
8,989,2333
9,1071,2333
10,1182,2333
11,1113,2333
12,1309,2333
13,1309,2333
14,1309,2333
15,1900,2333
16,2854,2854
17,2312,2854
18,2458,2854
19,3041,3041
20,2301,3041
21,2498,3041
22,2742,3041
23,2749,3041
24,2062,3041
25,2062,3041
26,1420,3041
27,886,3041
28,1045,3041
29,1298,3041
30,1340,3041
31,1549,3041
32,1755,3041
33,2519,3041
34,2519,3041
35,2540,3041
36,2675,3041
37,2659,3041
38,2965,3041
39,2141,3041
40,2141,3041
41,2530,3041
42,2530,3041
43,3106,3106
44,3106,3106
45,3003,3106
46,2093,3106
47,2169,3106
48,2364,3106
49,3121,3121
50,3097,3121
51,2710,3121
52,2826,3121
53,1680,3121
54,1680,3121
55,1691,3121
56,1691,3121
57,1691,3121
58,2415,3121
59,2415,3121
60,1575,3121
61,1464,3121
62,1454,3121
63,1996,3121
64,1996,3121
65,715,3121
66,804,3121
67,1149,3121
68,810,3121
69,755,3121
70,950,3121
71,755,3121
72,755,3121
73,1630,3121
74,2468,3121
75,1630,3121
76,1790,3121
77,1700,3121
78,2378,3121
79,1700,3121
80,2302,3121
81,2726,3121
82,2302,3121
83,2619,3121
84,3343,3343
85,3343,3343
86,4102,4102
87,4022,4102
88,4022,4102
89,4452,4452
90,4452,4452
91,5061,5061
92,4631,5061
93,3683,5061
94,2812,5061
95,3766,5061
96,4709,5061
97,4709,5061
98,5232,5232
99,4289,5232
100,4350,5232
101,4350,5232
102,3998,5232
103,4100,5232
104,4100,5232
105,4103,5232
106,4284,5232
107,4366,5232
108,4332,5232
109,4126,5232
110,4252,5232
111,3418,5232
112,3418,5232
113,1890,5232
114,1680,5232
115,1888,5232
116,1680,5232
117,1999,5232
118,2219,5232
119,2243,5232
120,2243,5232
121,2812,5232
122,2812,5232
123,2109,5232
124,2509,5232
125,3063,5232
126,3950,5232
127,3490,5232
128,2821,5232
129,3321,5232
130,3890,5232
131,4021,5232
132,2484,5232
133,1604,5232
134,1691,5232
135,2214,5232
136,2163,5232
137,3132,5232
138,3132,5232
139,3132,5232
140,3132,5232
141,2372,5232
142,2829,5232
143,2553,5232
144,1511,5232
145,1511,5232
146,1538,5232
147,1309,5232
148,1731,5232
149,2307,5232
150,1620,5232
151,1524,5232
152,2038,5232
153,1157,5232
154,1157,5232
155,1513,5232
156,1474,5232
157,1474,5232
158,2143,5232
159,2632,5232
160,2632,5232
161,2632,5232
162,2664,5232
163,2281,5232
164,2780,5232
165,2780,5232
166,2209,5232
167,1845,5232
168,2070,5232
169,2703,5232
170,2121,5232
171,2959,5232
172,2959,5232
173,2465,5232
174,2361,5232
175,2741,5232
176,2853,5232
177,2919,5232
178,3326,5232
179,2950,5232
180,3492,5232
181,3768,5232
182,3768,5232
183,3226,5232
184,2452,5232
185,2017,5232
186,1247,5232
187,1691,5232
188,1247,5232
189,1219,5232
190,1355,5232
191,1789,5232
192,1030,5232
193,1908,5232
194,2390,5232
195,2769,5232
196,718,5232
197,718,5232
198,1119,5232
199,813,5232
200,813,5232
201,643,5232
202,1383,5232
203,1462,5232
204,1480,5232
205,1115,5232
206,1510,5232
207,1281,5232
208,821,5232
209,1322,5232
210,1322,5232
211,1322,5232
212,1917,5232
213,2757,5232
214,3229,5232
215,2728,5232
216,2427,5232
217,2859,5232
218,1979,5232
219,2359,5232
220,2359,5232
221,2359,5232
222,1999,5232
223,1486,5232
224,1800,5232
225,2275,5232
226,2620,5232
227,2746,5232
228,2828,5232
229,3620,5232
230,4286,5232
231,3539,5232
232,3829,5232
233,3066,5232
234,2382,5232
235,3182,5232
236,3182,5232
237,3949,5232
238,3492,5232
239,3492,5232
240,3571,5232
241,3571,5232
242,3831,5232
243,3831,5232
244,4041,5232
245,3706,5232
246,3706,5232
247,3706,5232
248,3721,5232
249,4610,5232
250,4040,5232
251,3090,5232
252,2281,5232
253,3251,5232
254,2155,5232
255,1940,5232
256,2192,5232
257,2423,5232
258,2423,5232
259,2902,5232
260,2902,5232
261,1932,5232
262,2011,5232
263,2748,5232
264,2490,5232
265,2490,5232
266,1961,5232
267,1961,5232
268,1961,5232
269,1637,5232
270,1553,5232
271,2460,5232
272,2816,5232
273,2354,5232
274,2740,5232
275,3720,5232
276,3720,5232
277,3906,5232
278,3906,5232
279,3931,5232
280,2425,5232
281,2425,5232
282,3103,5232
283,3103,5232
284,3166,5232
285,3938,5232
286,4849,5232
287,5059,5232
288,4317,5232
289,3209,5232
290,3082,5232
291,3591,5232
292,3591,5232
293,3673,5232
294,2084,5232
295,1903,5232
296,2005,5232
297,2221,5232
298,2343,5232
299,2202,5232
300,1876,5232
301,1876,5232
302,1934,5232
303,2106,5232
304,2048,5232
305,2141,5232
306,1862,5232
307,1975,5232
308,2182,5232
309,2576,5232
310,3185,5232
311,3366,5232
312,3742,5232
313,3126,5232
314,2875,5232
315,2572,5232
316,2500,5232
317,2500,5232
318,2500,5232
319,2500,5232
320,2422,5232
321,2501,5232
322,2432,5232
323,2301,5232
324,1170,5232
325,1836,5232
326,2528,5232
327,3311,5232
328,3311,5232
329,4075,5232
330,4765,5232
331,4377,5232
332,4377,5232
333,4493,5232
334,3152,5232
335,3443,5232
336,2613,5232
337,3094,5232
338,3094,5232
339,2501,5232
340,2501,5232
341,1854,5232
342,2035,5232
343,2577,5232
344,2327,5232
345,2643,5232
346,2643,5232
347,2760,5232
348,2749,5232
349,3458,5232
350,3458,5232
351,4369,5232
352,3979,5232
353,4290,5232
354,4327,5232
355,4327,5232
356,4327,5232
357,4681,5232
358,4681,5232
359,4681,5232
360,4256,5232
361,4052,5232
362,3441,5232
363,3817,5232
364,3916,5232
365,2434,5232
366,1862,5232
367,1753,5232
368,2731,5232
369,3395,5232
370,3395,5232
371,3395,5232
372,4273,5232
373,4122,5232
374,4122,5232
375,3461,5232
376,3461,5232
377,2942,5232
378,2332,5232
379,3293,5232
380,2814,5232
381,2645,5232
382,2615,5232
383,3157,5232
384,3237,5232
385,3502,5232
386,2660,5232
387,2227,5232
388,2227,5232
389,2591,5232
390,2591,5232
391,3391,5232
392,3786,5232
393,3654,5232
394,3654,5232
395,2702,5232
396,3466,5232
397,4123,5232
398,4123,5232
399,3466,5232
400,4034,5232
401,3234,5232
402,3234,5232
403,3234,5232
404,3145,5232
405,3504,5232
406,3504,5232
407,2671,5232
408,2719,5232
409,1955,5232
410,1087,5232
411,1087,5232
412,1764,5232
413,1764,5232
414,1764,5232
415,2372,5232
416,2372,5232
417,2625,5232
418,2625,5232
419,2227,5232
420,1463,5232
421,1656,5232
422,1127,5232
423,1127,5232
424,1127,5232
425,1720,5232
426,1720,5232
427,1599,5232
428,1576,5232
429,2053,5232
430,2754,5232
431,2383,5232
432,3294,5232
433,3935,5232
434,2913,5232
435,2913,5232
436,2913,5232
437,2913,5232
438,2913,5232
439,2367,5232
440,2367,5232
441,1961,5232
442,1990,5232
443,1990,5232
444,1440,5232
445,1624,5232
446,2467,5232
447,3176,5232
448,3176,5232
449,2751,5232
450,3593,5232
451,3593,5232
452,3593,5232
453,3593,5232
454,3705,5232
455,4365,5232
456,4365,5232
457,5010,5232
458,5980,5980
459,5980,5980
460,5980,5980
461,4926,5980
462,4679,5980
463,3836,5980
464,4674,5980
465,4601,5980
466,4601,5980
467,4756,5980
468,4499,5980
469,4396,5980
470,3156,5980
471,3557,5980
472,3291,5980
473,3648,5980
474,2713,5980
475,2860,5980
476,3586,5980
477,3586,5980
478,4460,5980
479,4686,5980
480,4686,5980
481,4686,5980
482,5148,5980
483,5148,5980
484,5377,5980
485,5723,5980
486,4805,5980
487,3665,5980
488,3270,5980
489,2432,5980
490,2432,5980
491,3306,5980
492,2808,5980
493,3771,5980
494,3497,5980
495,3497,5980
496,3499,5980
497,3971,5980
498,3971,5980
499,3971,5980
500,3971,5980
501,3971,5980
502,3356,5980
503,3356,5980
504,3509,5980
505,3509,5980
506,3509,5980
507,3509,5980
508,3102,5980
509,3102,5980
510,3102,5980
511,3193,5980
512,3193,5980
513,2612,5980
514,3253,5980
515,2804,5980
516,2844,5980
517,3280,5980
518,3236,5980
519,4179,5980
520,4179,5980
521,4179,5980
522,4179,5980
523,4179,5980
524,4179,5980
525,4174,5980
526,4174,5980
527,4378,5980
528,3580,5980
529,3580,5980
530,3580,5980
531,3580,5980
532,4164,5980
533,4164,5980
534,4164,5980
535,4163,5980
536,4163,5980
537,4163,5980
538,3828,5980
539,4820,5980
540,4217,5980
541,4217,5980
542,3688,5980
543,3688,5980
544,3986,5980
545,3494,5980
546,4240,5980
547,4124,5980
548,3618,5980
549,3986,5980
550,3986,5980
551,4940,5980
552,4940,5980
553,5275,5980
554,5275,5980
555,5275,5980
556,5268,5980
557,5365,5980
558,5365,5980
559,5809,5980
560,5809,5980
561,6721,6721
562,7286,7286
563,6951,7286
564,6951,7286
565,6951,7286
566,6951,7286
567,7903,7903
568,6623,7903
569,6623,7903
570,6623,7903
571,6623,7903
572,6598,7903
573,5155,7903
574,5155,7903
575,5155,7903
576,5155,7903
577,5560,7903
578,5560,7903
579,5560,7903
580,5560,7903
581,5560,7903
582,5560,7903
583,5560,7903
