iteration,current_objective,best_objective,current_total_weight
0,1909,1909,2121
1,2123,2123,2300
2,2123,2123,2300
3,1362,2123,2066
4,1362,2123,2066
5,1509,2123,2337
6,2368,2368,2347
7,2065,2368,1599
8,2571,2571,1925
9,3199,3199,2492
10,2563,3199,2243
11,2716,3199,2443
12,2387,3199,1892
13,2387,3199,1892
14,2924,3199,2014
15,3576,3576,2331
16,3884,3884,2275
17,3884,3884,2275
18,3774,3884,2473
19,3774,3884,2473
20,2187,3884,1778
21,2201,3884,2299
22,2253,3884,2462
23,2253,3884,2462
24,1194,3884,2501
25,893,3884,1936
26,920,3884,2233
27,1588,3884,2240
28,1989,3884,2436
29,2442,3884,2061
30,2984,3884,2105
31,2430,3884,1709
32,2810,3884,1934
33,3186,3884,2077
34,3604,3884,2338
35,4220,4220,2493
36,3541,4220,1991
37,3688,4220,2262
38,3869,4220,2350
39,3583,4220,2469
40,2591,4220,2171
41,2694,4220,2398
42,2081,4220,2065
43,2081,4220,2065
44,2501,4220,2522
45,1469,4220,2327
46,1540,4220,2424
47,1678,4220,2126
48,1531,4220,1855
49,1531,4220,1855
50,1531,4220,1855
51,1943,4220,2376
52,2398,4220,1877
53,3064,4220,1922
54,2629,4220,2465
55,3293,4220,2426
56,3686,4220,2206
57,3063,4220,1706
58,3094,4220,2344
59,3347,4220,2377
60,3207,4220,2445
61,2541,4220,2400
62,2108,4220,2089
63,2556,4220,2454
64,3111,4220,2395
65,2858,4220,2362
66,3305,4220,2400
67,3305,4220,2400
68,3299,4220,2096
69,2004,4220,2513
70,2292,4220,1953
71,2510,4220,2471
72,2987,4220,2505
73,2635,4220,1980
74,2635,4220,1980
75,2832,4220,2096
76,2996,4220,2503
77,3010,4220,2316
78,3010,4220,2316
79,3971,4220,2473
80,3971,4220,2473
81,3380,4220,2386
82,2603,4220,2218
83,2603,4220,2218
84,3172,4220,2325
85,2365,4220,2045
86,2365,4220,2045
87,1672,4220,1974
88,2184,4220,2490
89,2055,4220,2246
90,2208,4220,2442
91,2365,4220,1643
92,2693,4220,2359
93,1467,4220,1612
94,2127,4220,1921
95,2757,4220,1777
96,2904,4220,2048
97,2751,4220,1852
98,3292,4220,2354
99,3292,4220,2354
100,4244,4244,2418
101,4244,4244,2418
102,5100,5100,2489
103,5466,5466,2485
104,5466,5466,2485
105,3790,5466,2485
106,3525,5466,2390
107,3525,5466,2390
108,3525,5466,2390
109,1877,5466,2173
110,2130,5466,2206
111,2078,5466,2384
112,2899,5466,2225
113,3731,5466,2502
114,3199,5466,2344
115,2815,5466,1897
116,2931,5466,2098
117,2700,5466,1698
118,3124,5466,2225
119,2731,5466,2336
120,2646,5466,2520
121,1756,5466,2060
122,2267,5466,2207
123,2549,5466,2215
124,2549,5466,2215
125,1870,5466,1764
126,2453,5466,2023
127,2453,5466,2023
128,2240,5466,2416
129,1561,5466,2253
130,1567,5466,2240
131,1992,5466,2250
132,1992,5466,2250
133,1992,5466,2250
134,1971,5466,2151
135,2902,5466,2466
136,2902,5466,2466
137,2902,5466,2466
138,2902,5466,2466
139,2809,5466,1892
140,3789,5466,2505
141,3025,5466,2235
142,2502,5466,1856
143,3192,5466,2106
