iteration,candidate_total_value,candidate_total_weight
1,2812,2498
2,2812,2498
3,3207,2396
4,3212,2473
5,2442,2452
6,2566,2508
7,2883,2439
8,2874,2070
9,3027,2266
10,2593,2491
11,2109,2357
12,1824,2438
13,1368,2165
14,1521,2455
15,1696,2224
16,1696,2224
17,1103,1912
18,1873,1922
19,2596,2530
20,2120,2129
21,2236,2406
22,2034,2080
23,2460,2504
24,2683,2402
25,3150,2384
26,3834,1979
27,3809,2494
28,3406,2068
29,2330,2541
30,1721,1690
31,1746,2325
32,1579,2242
33,2110,2433
34,3064,2459
35,2676,2474
36,1227,1837
37,1434,2530
38,1204,2214
39,2151,2442
40,1944,1749
41,1409,1743
42,1480,1840
43,1804,2170
44,2494,2420
45,2416,2464
46,1986,2363
47,2083,2458
48,1599,2444
49,1275,2114
50,1275,2114
51,585,1864
52,1178,2019
53,2029,1764
54,2987,2449
55,2334,2539
56,2022,1988
57,2781,2225
58,2666,2361
59,2666,2361
60,2466,2161
61,3035,2191
62,3760,2505
63,3035,2191
64,2436,2092
65,2549,2312
66,2549,2312
67,2615,2503
68,2615,2503
69,2615,2503
70,2620,2194
71,2980,2502
72,2937,2258
73,1757,2281
74,1826,2137
75,2682,2208
76,2362,2264
77,2362,2264
78,1697,2512
79,2077,1877
80,2566,2438
81,1430,2038
82,3175,2538
83,3268,2244
84,3216,2540
85,2917,2470
86,2248,2292
87,1674,1977
88,1674,1977
89,2586,2385
90,3301,1988
91,2350,2361
92,2072,2401
93,1346,1789
94,1437,1898
95,1750,2434
96,1930,2466
97,1930,2466
98,2064,2160
99,2064,2160
100,3034,2519
101,3407,1690
102,3693,2511
103,3317,2185
104,4069,2480
105,3736,2122
106,3745,2262
107,3432,1726
108,3827,1879
109,4686,1889
110,4710,2175
111,5419,2448
112,4997,2530
113,4103,2470
114,1836,1692
115,1897,2179
116,1530,2286
117,2373,2510
118,1514,2500
119,1589,2179
120,1934,2002
121,2031,2097
122,2573,2188
123,2527,2440
124,3464,2134
125,1924,2459
126,1924,2459
127,1061,2068
128,1049,2133
129,1109,2460
130,1109,2460
131,623,2529
132,825,1625
133,1163,1973
134,1691,1855
135,2037,2255
136,1130,1868
137,1560,1969
138,2447,2330
139,2904,2373
140,2904,2373
141,2032,2192
142,2227,2197
143,2769,2288
144,3677,2385
145,4431,2541
146,2134,2453
147,2834,2525
148,2821,1973
149,2910,1756
150,3769,1766
151,3950,1854
152,3165,1885
153,3524,2400
154,3116,2209
155,2416,2137
156,2355,2005
157,1789,2232
158,1984,2237
159,2335,2043
160,2335,2043
161,1874,2006
162,2102,2054
163,2173,2151
164,2314,1833
165,2646,2235
166,3505,2309
167,2743,2225
168,1474,2109
169,1892,2370
170,2164,2359
171,1657,2487
172,1657,2487
173,1726,1862
174,2142,2110
175,2142,2110
176,1890,2463
177,1890,2463
178,1196,2288
179,1738,2332
180,1196,2288
181,1073,1716
182,1187,2290
183,1615,2473
184,1615,2473
185,1615,2473
186,2271,2344
187,2610,2139
188,2722,2189
189,3320,2283
190,2383,2411
191,2441,2399
192,2348,2141
193,2348,2141
194,2348,2141
195,2791,2202
196,2407,1634
197,2763,1826
198,3675,2234
199,4572,2503
200,3450,2430
201,3856,2496
202,2913,1601
203,2448,2433
204,2448,2433
205,2910,2428
206,3710,2518
207,3521,1779
208,3172,1737
209,3738,2534
210,3738,2534
211,4313,2044
212,3781,2289
213,3139,1958
214,3241,1974
215,4100,1984
216,4304,2279
217,4253,2396
218,2293,1609
219,3190,2091
220,1787,1730
221,1991,2025
222,2088,2120
223,1787,1730
224,2473,2372
225,2273,1909
226,1826,1777
227,2806,2120
228,3405,2406
229,1381,1929
230,2995,2476
231,3016,2040
232,2262,1884
233,2574,2362
234,2414,1793
235,2883,2478
236,2217,2475
237,1199,1586
238,1219,1897
239,1429,1969
240,2057,2346
241,2238,2434
242,2750,2436
243,2611,2536
244,2611,2536
245,2611,2536
246,2691,2144
247,3622,2196
248,3841,2408
249,3552,2500
250,3367,2250
251,3186,2162
252,3439,2480
253,2405,1882
254,3012,2459
255,2081,2407
256,1372,2134
257,1968,2467
258,1779,1921
259,1744,1898
260,1733,1805
261,2158,2254
262,1425,1887
263,1007,2197
264,1123,2398
265,1028,2203
266,1906,2496
267,1985,2356
268,1713,2376
269,1136,2322
270,708,1836
271,1619,1855
272,1619,1855
273,1619,1855
274,1815,2384
275,2061,2437
276,1150,2418
277,1150,2418
278,1914,2516
279,2444,2117
280,2827,2184
281,3207,2409
282,1718,2043
283,1899,2290
284,2468,2397
285,1920,2142
286,1978,2355
287,2080,2371
288,2080,2371
289,1670,1813
290,2080,2371
291,2076,1843
292,2107,2481
293,2018,1630
294,2365,1976
295,2095,2124
296,1806,2090
297,1910,2389
298,1508,2091
299,1740,2439
300,647,2042
301,1247,2175
302,1349,2191
303,1959,1687
