CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,1236,0
2,64,92,40,652,705,90
3,65,61,10,783,836,90
4,47,37,10,779,828,90
5,22,76,30,34,98,90
6,67,68,30,626,677,90
7,32,37,10,1087,1146,90
8,58,74,30,236,278,90
9,63,55,10,0,71,90
10,45,20,10,651,724,90
11,50,84,10,745,824,90
12,65,59,30,583,635,90
13,63,90,20,344,422,90
14,76,60,30,1,50,90
15,34,12,40,132,199,90
16,90,26,30,74,143,90
17,0,46,10,631,681,90
18,4,38,10,658,707,90
19,31,28,20,100,173,90
20,32,26,10,36,96,90
21,42,66,30,821,875,90
22,28,37,10,25,87,90
23,85,28,10,693,746,90
24,18,57,10,397,464,90
25,47,33,10,877,921,90
26,13,78,20,82,150,90
27,29,56,20,799,863,90
28,52,28,10,651,712,90
29,28,65,10,750,796,90
30,74,66,30,627,689,90
31,63,58,10,783,834,90
32,6,33,20,156,186,90
33,39,13,40,253,321,90
34,26,47,20,809,881,90
35,30,26,10,897,978,90
36,0,44,20,519,576,90
37,63,66,10,825,873,90
38,10,35,10,259,325,90
39,46,27,10,751,804,90
40,16,67,20,123,170,90
41,35,67,20,638,745,90
42,19,58,40,160,222,90
43,25,49,10,272,343,90
44,41,65,30,883,925,90
45,35,30,10,160,218,90
46,20,78,20,103,155,90
47,59,55,10,64,146,90
48,0,49,20,531,595,90
49,99,27,20,318,390,90
50,39,2,30,396,451,90
51,88,26,10,516,579,90
52,0,41,30,1002,1071,90
53,37,49,10,23,78,90
54,59,86,30,917,989,90
55,28,50,20,875,942,90
56,47,69,30,833,870,90
57,67,54,30,536,574,90
58,46,5,30,351,403,90
59,50,29,10,421,483,90
60,34,2,20,550,614,90
61,28,57,10,768,844,90
62,41,72,20,223,299,90
63,63,86,10,175,230,90
64,52,50,10,820,871,90
65,31,48,10,43,114,90
66,31,5,30,462,524,90
67,87,31,30,0,83,90
68,41,68,10,585,635,90
69,32,32,10,424,478,90
70,46,32,10,933,987,90
71,24,33,10,451,516,90
72,34,83,20,665,726,90
73,66,57,10,665,734,90
74,25,77,20,94,132,90
75,1,44,20,536,589,90
76,5,71,20,183,253,90
77,3,50,10,670,726,90
78,50,29,10,634,697,90
79,58,87,30,525,593,90
80,8,33,20,145,175,90
81,58,37,50,135,195,90
82,21,33,10,697,751,90
83,56,39,50,347,413,90
84,28,31,10,545,621,90
85,36,68,20,1056,1131,90
86,55,77,20,81,124,90
87,59,33,10,434,478,90
88,92,35,10,290,353,90
89,17,49,20,855,908,90
90,61,78,30,259,295,90
